retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,Temp,Humidity
-1.571428571,1.285714286,-1.857142857,-2.857142857,0.285714286,0.714285714,9.528571429,64.71428571
-2.142857143,0.857142857,-4.285714286,-3.428571429,-0.428571429,1,9.542857143,66.28571429
-0.714285714,2.142857143,3,-1.714285714,-0.142857143,0.714285714,9.7,58.28571429
2.142857143,2.571428571,11.42857143,-5.428571429,-8,2.571428571,9.628571429,53.14285714
2,3.285714286,11.28571429,-5.428571429,-7.857142857,2.571428571,10.04285714,55.42857143
1.428571429,3.428571429,9.428571429,-5.714285714,-7.714285714,2.714285714,10.04285714,61.71428571
0.857142857,3.714285714,8.285714286,-6.285714286,-7.714285714,2.857142857,9.757142857,60.42857143
0.714285714,5.428571429,6.714285714,-7.428571429,-7.571428571,3,9.328571429,58.14285714
0,6.571428571,5,-10,-7,3.285714286,8.885714286,56.28571429
-1.571428571,7.428571429,2.571428571,-13.57142857,-6.857142857,3.857142857,9.114285714,60.57142857
-5.571428571,7.285714286,-7.285714286,-11.85714286,0.714285714,2.428571429,8.757142857,66.85714286
-5.857142857,7.571428571,-5.714285714,-13.71428571,0.285714286,2.857142857,8.871428571,66.71428571
-7,6.857142857,-8,-15.71428571,-0.428571429,3.428571429,8.985714286,66.28571429
-7.857142857,6.428571429,-8.571428571,-17.28571429,-1,3.857142857,9.3,66.85714286
-8.857142857,4.714285714,-7.285714286,-18.42857143,-1.714285714,4.285714286,9.642857143,64.71428571
-9.142857143,3.714285714,-5.285714286,-18.85714286,-2.714285714,4.428571429,9.342857143,65.28571429
-10.14285714,1.857142857,-10.14285714,-20,-3.571428571,4.714285714,8.657142857,69.42857143
-9.714285714,1.714285714,-6.428571429,-20,-3.714285714,4.714285714,9.485714286,67.28571429
-10.71428571,0,-12,-20.42857143,-4.142857143,5,9.971428571,72.71428571
-9.428571429,0.857142857,-7.142857143,-20,-4.142857143,4.714285714,10.88571429,68.85714286
-8.571428571,1.142857143,-3.714285714,-19.57142857,-4.142857143,4.571428571,11.2,68.14285714
-8,1.285714286,-3,-19.42857143,-4.142857143,4.571428571,11.64285714,72.28571429
-8.285714286,0.428571429,-7.428571429,-19.85714286,-4.571428571,4.857142857,11.38571429,75.14285714
-6.857142857,1.714285714,-1.142857143,-18.42857143,-4.285714286,4.428571429,11.37142857,71.28571429
-6.857142857,1.428571429,-3.714285714,-18.42857143,-4.285714286,4.428571429,10.51428571,67.85714286
-5.714285714,2.428571429,2.285714286,-18,-4.142857143,4.142857143,9.514285714,60.71428571
-5.714285714,2.285714286,3.285714286,-17.71428571,-4.142857143,4.142857143,9.028571429,59.85714286
-4.714285714,2.428571429,3.428571429,-17,-4.142857143,4,9.485714286,62.28571429
-3,2.857142857,7.714285714,-19.42857143,-11.28571429,5.714285714,9.771428571,60.28571429
-1.857142857,4.142857143,18.14285714,-17.71428571,-11.28571429,5.142857143,10.95714286,54
-2.142857143,3.571428571,19.42857143,-17.28571429,-11.28571429,5.142857143,12.34285714,51.42857143
-1.714285714,3.571428571,22,-17,-11.28571429,5,12.8,52
-1.571428571,3.428571429,22,-16.71428571,-11.28571429,5,12.87142857,51.57142857
-0.857142857,4.142857143,23.57142857,-16.28571429,-11.28571429,4.857142857,12.6,50.57142857
-1.428571429,5.142857143,24.85714286,-16.71428571,-11.42857143,5,12.37142857,48.42857143
-3.857142857,4.714285714,17.85714286,-14.57142857,-4.714285714,3.428571429,12.61428571,51.42857143
-5.571428571,4.142857143,9.714285714,-17.14285714,-4.857142857,4,12.85714286,57
-8,3,3.571428571,-20.42857143,-5.714285714,4.571428571,10.97142857,63.71428571
-8.428571429,3.571428571,1.714285714,-21.42857143,-6.428571429,4.857142857,10.58571429,65.57142857
-9,4.142857143,1,-22.42857143,-6.857142857,5,10.81428571,70.57142857
-12.14285714,2.285714286,-7.571428571,-24.42857143,-7.714285714,5.714285714,11.01428571,78
-13.85714286,1.285714286,-9.428571429,-25.85714286,-8.428571429,6.142857143,11.14285714,77.28571429
-14.42857143,1.714285714,-4.428571429,-26.71428571,-9,6.285714286,10.65714286,74.57142857
-14.85714286,2.428571429,2.571428571,-27,-9.571428571,6.428571429,10.68571429,71.57142857
-14.71428571,3.714285714,6.571428571,-27.28571429,-10.14285714,6.571428571,11.62857143,68.28571429
-15.57142857,4.142857143,9,-27.85714286,-10.57142857,6.857142857,12.27142857,64.14285714
-16.71428571,4,10.14285714,-28.85714286,-11.42857143,7.285714286,12.64285714,60
-17,5,16.57142857,-30.14285714,-12.28571429,7.571428571,13.05714286,54.71428571
-18.71428571,4.428571429,15.85714286,-32,-13.28571429,8.142857143,12.97142857,57.14285714
-20.42857143,4.142857143,12.14285714,-33.85714286,-14.28571429,8.857142857,12.74285714,57
-21.71428571,3.857142857,8.857142857,-35.71428571,-15.71428571,9.428571429,12.12857143,55
-23.85714286,2.285714286,3.428571429,-37.85714286,-17,10,12.14285714,56.57142857
-27.42857143,-0.857142857,-5.142857143,-40.85714286,-18.28571429,10.85714286,11.55714286,64.28571429
-29,-1,-6.142857143,-42.85714286,-19.28571429,11.42857143,11.34285714,64.85714286
-29.28571429,-0.285714286,-6,-43.85714286,-20,11.71428571,11.27142857,63.14285714
-29.71428571,0.142857143,-5.857142857,-44.85714286,-20.71428571,12,11.04285714,63.71428571
-30.42857143,0.142857143,-6,-46,-21.42857143,12.28571429,11.21428571,65.57142857
-33,-2.428571429,-13.14285714,-47.71428571,-22,12.85714286,11.42857143,72.42857143
-33,-1.571428571,-8,-47,-22.14285714,12.71428571,12.05714286,69.57142857
-32.85714286,-0.571428571,-6.285714286,-47.28571429,-22.57142857,12.85714286,12.3,69.14285714
-34,-1.142857143,-6.571428571,-48,-23.28571429,13.14285714,12.77142857,73.14285714
-35.71428571,-2.714285714,-9.428571429,-49,-24,13.57142857,12.72857143,75.57142857
-37,-3.857142857,-11.28571429,-49.71428571,-24.57142857,14,12.75714286,74.14285714
-37.85714286,-4.571428571,-12.28571429,-50,-25,14.28571429,12.72857143,73.14285714
-36.85714286,-3,-6.857142857,-49,-25,14,12.7,68.14285714
-37.57142857,-3.857142857,-9.285714286,-49.71428571,-25.57142857,14.14285714,13.21428571,66.42857143
-37.28571429,-3.428571429,-5.857142857,-49.71428571,-26,14.28571429,13.65714286,64.14285714
-36.85714286,-3.285714286,-6.428571429,-49.71428571,-26.28571429,14.28571429,13.38571429,64.57142857
-36,-3.428571429,-2.714285714,-52,-31.71428571,15.42857143,13.61428571,65.14285714
-35.14285714,-2.428571429,-1,-51.85714286,-32.57142857,15.57142857,14.48571429,66.57142857
-34.85714286,-2.142857143,0.714285714,-52.14285714,-33.85714286,16,15.58571429,68.28571429
-35.14285714,-2.428571429,0.428571429,-52.42857143,-34.42857143,16.14285714,16.71428571,70
-35.14285714,-2.428571429,0,-52.42857143,-34.85714286,16.14285714,17.05714286,72.57142857
-34.14285714,-2.571428571,1.857142857,-55.28571429,-41.57142857,18.14285714,17.98571429,73.85714286
-33.42857143,-2.857142857,5.428571429,-58,-48.14285714,20.28571429,19.27142857,72.14285714
-34.28571429,-3.857142857,-0.285714286,-58.71428571,-49.28571429,21.42857143,19.37142857,75.14285714
-34.42857143,-4.285714286,-1,-58.28571429,-48.42857143,21.14285714,19.15714286,74.42857143
-34.28571429,-4.428571429,-0.714285714,-57.57142857,-47.28571429,20.71428571,18.7,71.71428571
-33.71428571,-4.428571429,-2,-57,-45.85714286,20.42857143,18.37142857,70.42857143
-32.71428571,-4.142857143,-4.285714286,-56.71428571,-45,20.42857143,18.48571429,72.14285714
-33.28571429,-3.571428571,-4.857142857,-53.14285714,-37.71428571,18,19,71.14285714
-34.28571429,-3.571428571,-8.142857143,-50,-30.57142857,15.71428571,19.05714286,71.42857143
-33.57142857,-2,-5.142857143,-46.42857143,-23.57142857,13.28571429,19.98571429,66.42857143
-33.42857143,-2.285714286,-4.714285714,-46.42857143,-23.14285714,13,20.6,63.42857143
-33.14285714,-2.285714286,-6.142857143,-46.28571429,-22.57142857,12.85714286,21.28571429,64
-33.28571429,-3.285714286,-10.71428571,-46.85714286,-23,13,21.31428571,67.57142857
-32.42857143,-2.428571429,-6,-45.71428571,-22.42857143,12.57142857,21.32857143,66.42857143
-32.42857143,-3.142857143,-8.857142857,-45.71428571,-22.14285714,12.71428571,20.8,68
-32.28571429,-3.714285714,-12.57142857,-45.71428571,-22,12.85714286,20.22857143,71.14285714
-31.57142857,-3.428571429,-14,-45.28571429,-21.71428571,12.71428571,18.85714286,76.14285714
-31.14285714,-3.428571429,-16,-44.85714286,-21.42857143,12.71428571,17.7,83.14285714
-30.71428571,-3.714285714,-16.14285714,-44.42857143,-21.14285714,12.42857143,16.81428571,88.42857143
-28.85714286,-2,-9.857142857,-42.71428571,-20.71428571,12,16.8,88
-28.14285714,-2,-8.428571429,-41.85714286,-20.28571429,11.85714286,16.68571429,88.14285714
-26.71428571,-0.714285714,-5.285714286,-40.85714286,-20,11.42857143,17.02857143,85.42857143
-25.71428571,-0.285714286,-3.571428571,-39.85714286,-19.42857143,11,17.48571429,84
-24.85714286,-0.142857143,-2,-39,-19,10.71428571,18.72857143,82.71428571
-23.85714286,0.142857143,-0.142857143,-38,-18.57142857,10.42857143,19.68571429,79.85714286
-22.71428571,0.714285714,1.285714286,-37,-18,10.14285714,20.45714286,76.42857143
-21.71428571,1.142857143,2.571428571,-35.71428571,-17.14285714,9.714285714,20.97142857,74.28571429
-21,1.285714286,-0.857142857,-35.28571429,-16.71428571,9.571428571,21.04285714,74
-20.85714286,0.714285714,-3,-34,-15.71428571,9.285714286,20.75714286,77
-20,1.142857143,-1.142857143,-32.71428571,-15,8.857142857,20.95714286,77
-19.85714286,1,-1.142857143,-31.71428571,-14.28571429,8.571428571,21.32857143,76.28571429
-19.57142857,1.142857143,-1.571428571,-30.85714286,-13.57142857,8.285714286,21.91428571,77.71428571
-19.14285714,1,-2.142857143,-30.14285714,-13.28571429,8,22.5,79
-18.71428571,0.714285714,-2.571428571,-29.71428571,-13.42857143,7.857142857,22.81428571,79.85714286
-17.71428571,1,1.142857143,-28.71428571,-13.28571429,7.571428571,22.91428571,79
-17.14285714,1.142857143,3.142857143,-28.71428571,-13.28571429,7.428571429,23.42857143,76.14285714
-16.71428571,1.142857143,3.428571429,-28.57142857,-13.14285714,7.428571429,23.88571429,73.42857143
-16,1.285714286,2.571428571,-28.28571429,-13.14285714,7.285714286,24.2,71.85714286
-16.28571429,0.142857143,-1.428571429,-28.28571429,-13.28571429,7.428571429,24.42857143,72.71428571
-16,0,-3,-28,-13.28571429,7.428571429,24.62857143,74.14285714
-16.14285714,-1,-8.428571429,-28.57142857,-13.85714286,7.714285714,24.21428571,77.28571429
-16.28571429,-1.571428571,-14.14285714,-29.14285714,-13.85714286,7.857142857,24.17142857,81.85714286
-15.57142857,-1,-14.71428571,-28.71428571,-13.85714286,7.714285714,24.55714286,83
-15,-0.857142857,-14.85714286,-28.28571429,-13.71428571,7.571428571,24.55714286,83
-14.57142857,-0.857142857,-13.28571429,-27.85714286,-13.57142857,7.428571429,24.18571429,82.71428571
-14,-0.571428571,-11.57142857,-27.42857143,-13.42857143,7.142857143,23.75714286,82.28571429
-13.85714286,-1.285714286,-13.85714286,-27.28571429,-13.42857143,7.142857143,22.68571429,84.42857143
-12.28571429,0.428571429,-6.714285714,-25.28571429,-12.42857143,6.428571429,22.91428571,81.14285714
-11.28571429,1,-0.857142857,-23.57142857,-12,6.142857143,22.94285714,78.85714286
-11.85714286,-0.142857143,-2.428571429,-23.42857143,-12,6.285714286,21.98571429,80.85714286
-11.71428571,-0.142857143,-2.428571429,-23,-12,6.142857143,21.52857143,83.42857143
-11.71428571,-0.285714286,-3,-22.71428571,-11.85714286,6.142857143,21.37142857,86.42857143
-11,0.571428571,-2.857142857,-22,-11.71428571,6,21.1,88.14285714
-10.42857143,1.428571429,-0.142857143,-21.28571429,-11.42857143,5.714285714,21.95714286,86.14285714
-10.57142857,1,-1.571428571,-21.14285714,-11.85714286,5.857142857,22.32857143,87.14285714
-11,0.571428571,-6,-21.71428571,-12.14285714,6,22.37142857,89
-10,1.285714286,-3.857142857,-21.28571429,-11.85714286,5.857142857,23.18571429,85.28571429
-10.42857143,0.571428571,-7.857142857,-21.42857143,-11.71428571,6,23.51428571,85.85714286
-10.71428571,0.142857143,-10.42857143,-21.42857143,-11.42857143,6,23.88571429,86.57142857
-10.42857143,0.285714286,-8.285714286,-21.28571429,-11.14285714,5.857142857,24.7,83.42857143
-10.85714286,-0.428571429,-9.285714286,-21.28571429,-10.85714286,5.857142857,24.57142857,82.71428571
-11.57142857,-1,-13.28571429,-22.28571429,-10.57142857,6.142857143,24.32857143,83.71428571
-11.57142857,-0.571428571,-11.42857143,-22.28571429,-10.42857143,6.142857143,24.71428571,82.42857143
-13.14285714,-1.857142857,-16,-22.71428571,-10.71428571,6.285714286,24.7,85.71428571
-13.28571429,-1.714285714,-15.42857143,-22.85714286,-11,6.285714286,25.07142857,84.85714286
-13.14285714,-1.571428571,-15.42857143,-23,-11.42857143,6.285714286,25.2,84
-13.85714286,-2.285714286,-18.57142857,-23.28571429,-11.57142857,6.571428571,24.88571429,87.42857143
-13.71428571,-1.714285714,-19,-23.42857143,-11.71428571,6.571428571,25.1,88.85714286
-13.57142857,-1.428571429,-18.14285714,-23.42857143,-12,6.571428571,25.62857143,87.71428571
-13.42857143,-1.428571429,-17.57142857,-23.28571429,-11.85714286,6.571428571,25.78571429,86.85714286
-12.71428571,-0.857142857,-15.71428571,-23,-11.71428571,6.428571429,25.24285714,86.57142857
-12.71428571,-1,-15.57142857,-23,-11.71428571,6.428571429,24.54285714,88.42857143
-12.42857143,-0.714285714,-15.14285714,-22.71428571,-11.57142857,6.428571429,23.74285714,90.42857143
-11.71428571,0,-12.28571429,-22.57142857,-11.57142857,6.285714286,23.31428571,89
-11.85714286,-0.428571429,-12,-22.57142857,-11.57142857,6.285714286,22.45714286,90.14285714
-12,-0.571428571,-11,-22.42857143,-11,6.142857143,21.44285714,92.71428571
-12.28571429,-0.857142857,-9.714285714,-22.57142857,-11,6.142857143,21.2,94
-11.71428571,0,-7.714285714,-22.57142857,-10.85714286,6,22.04285714,92.57142857
-11,0.714285714,-5.285714286,-22.14285714,-10.57142857,5.857142857,22.5,91.28571429
-10.14285714,1.142857143,-4.142857143,-21.57142857,-10.28571429,5.571428571,23.38571429,90.14285714
-8,1.142857143,-2.857142857,-24.28571429,-17,7.285714286,23.74285714,92
-6.285714286,1.714285714,3,-27.14285714,-24,9.285714286,24.48571429,91.42857143
-6.714285714,1.285714286,2.428571429,-27.42857143,-25.28571429,9.571428571,25.15714286,91.14285714
-7.428571429,0.714285714,-1.428571429,-27.57142857,-25.57142857,9.714285714,25.34285714,91.85714286
-7.714285714,0.428571429,-2.857142857,-27.57142857,-25.85714286,9.857142857,25.25714286,93
-8.142857143,0,-4,-27.85714286,-26.14285714,10,25.42857143,93.28571429
-9.285714286,-0.428571429,-4.285714286,-28.71428571,-26.57142857,10.28571429,24.9,93
-11.71428571,-0.571428571,-5.857142857,-26.28571429,-20,8.571428571,24.9,90.85714286
-13.42857143,-0.571428571,-10.28571429,-23.57142857,-13,6.571428571,24.94285714,90.28571429
-13.28571429,0.285714286,-7.142857143,-23.28571429,-11.42857143,6.142857143,25.08571429,87.28571429
-12.85714286,1.142857143,-2.857142857,-23.28571429,-11.14285714,6,25.18571429,84.42857143
-12.71428571,1.285714286,-0.428571429,-23.57142857,-11.28571429,6,25.31428571,82.42857143
-12.42857143,2,1.857142857,-23.71428571,-11.42857143,5.857142857,25.54285714,80.57142857
-12,2.285714286,3.142857143,-23.85714286,-11.71428571,5.857142857,26.42857143,79
-11.71428571,2.428571429,4,-24,-12,5.857142857,27.18571429,78.28571429
-11.28571429,2.428571429,4.857142857,-24.14285714,-12.42857143,5.857142857,27.85714286,75.57142857
-11.14285714,2.285714286,4.428571429,-24,-12.85714286,5.857142857,28.14285714,75.85714286
-10.71428571,2.142857143,4.571428571,-23.14285714,-13,5.714285714,28.48571429,76.14285714
-7.857142857,2.714285714,9.285714286,-26,-20.42857143,7.571428571,28.95714286,76
-6.285714286,3.142857143,11,-26.85714286,-23.28571429,8.285714286,29.44285714,74.57142857
-4.571428571,3.857142857,13.42857143,-27.71428571,-26.57142857,9,29.57142857,75
-2.142857143,4.857142857,17.14285714,-29,-32.14285714,10.28571429,29.7,75.42857143
-0.428571429,5.571428571,21.14285714,-30.42857143,-38.14285714,11.85714286,29.68571429,76.42857143
-0.428571429,5.285714286,22,-31,-42.28571429,12.42857143,30.1,76
-1.428571429,4.714285714,19.85714286,-32,-43.28571429,12.57142857,30.45714286,75.57142857
-4.142857143,4,14.28571429,-29.71428571,-36.57142857,10.85714286,30.5,76
-5.857142857,3,12,-29.28571429,-34,10.28571429,30.3,76.57142857
